,Player,Team,POS,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,4S,6S,Year
0,KL Rahul,PBKS,1,14,14,2,670,132*,55.83,518,129.34,1,5,58,23,2020
1,Shikhar Dhawan,DC,2,17,17,3,618,106*,44.14,427,144.73,2,4,67,12,2020
2,David Warner,SRH,3,16,16,2,548,85*,39.14,407,134.64,0,4,52,14,2020
3,Shreyas Iyer,DC,4,17,17,2,519,88*,34.6,421,123.27,0,3,40,16,2020
4,Ishan Kishan,MI,5,14,13,4,516,99,57.33,354,145.76,0,4,36,30,2020
5,Quinton de Kock,MI,6,16,16,2,503,78*,35.92,358,140.5,0,4,46,22,2020
6,Suryakumar Yadav,MI,7,16,15,3,480,79*,40.0,331,145.01,0,4,61,11,2020
7,Devdutt Padikkal,RCB,8,15,15,0,473,74,31.53,379,124.8,0,5,51,8,2020
8,Virat Kohli,RCB,9,15,15,4,466,90*,42.36,384,121.35,0,3,23,11,2020
9,AB de Villiers,RCB,10,15,14,4,454,73*,45.4,286,158.74,0,5,33,23,2020
10,Faf du Plessis,CSK,11,13,13,2,449,87*,40.81,319,140.75,0,4,42,14,2020
11,Shubman Gill,KKR,12,14,14,1,440,70*,33.84,373,117.96,0,3,44,9,2020
12,Manish Pandey,SRH,13,16,15,2,425,83*,32.69,333,127.62,0,3,35,18,2020
13,Mayank Agarwal,PBKS,14,11,11,0,424,106,38.54,271,156.45,1,2,44,15,2020
14,Eoin Morgan,KKR,15,14,14,4,418,68*,41.8,302,138.41,0,1,32,24,2020
15,Sanju Samson,RR,16,14,14,1,375,85,28.84,236,158.89,0,3,21,26,2020
16,Ambati Rayudu,CSK,17,12,11,2,359,71,39.88,282,127.3,0,1,30,12,2020
17,Nicholas Pooran,PBKS,18,14,14,4,353,77,35.3,208,169.71,0,2,23,25,2020
18,Nitish Rana,KKR,19,14,14,0,352,87,25.14,254,138.58,0,3,43,12,2020
19,Marcus Stoinis,DC,20,17,17,3,352,65,25.14,237,148.52,0,3,31,16,2020
20,Jonny Bairstow,SRH,21,11,11,0,345,97,31.36,272,126.83,0,3,31,13,2020
21,Rishabh Pant,DC,22,14,14,3,343,56,31.18,301,113.95,0,1,31,9,2020
22,Rohit Sharma,MI,23,12,12,0,332,80,27.66,260,127.69,0,3,27,19,2020
23,Jos Buttler,RR,24,13,12,2,328,70*,32.8,227,144.49,0,2,27,16,2020
24,Kane Williamson,SRH,25,12,11,4,317,67,45.28,237,133.75,0,3,26,10,2020
25,Steve Smith,RR,26,14,14,2,311,69,25.91,237,131.22,0,3,32,9,2020
26,Shane Watson,CSK,27,11,11,1,299,83*,29.9,247,121.05,0,2,33,13,2020
27,Chris Gayle,PBKS,28,7,7,0,288,99,41.14,210,137.14,0,3,15,23,2020
28,Ben Stokes,RR,29,8,8,1,285,107*,40.71,200,142.5,1,1,36,7,2020
29,Hardik Pandya,MI,30,14,13,5,281,60*,35.12,157,178.98,0,1,14,25,2020
30,Aaron Finch,RCB,31,12,12,0,268,52,22.33,241,111.2,0,1,28,8,2020
31,Kieron Pollard,MI,32,16,12,7,268,60*,53.6,140,191.42,0,1,15,22,2020
32,Rahul Tewatia,RR,33,14,11,5,255,53,42.5,183,139.34,0,1,13,17,2020
33,Ravindra Jadeja,CSK,34,14,11,6,232,50,46.4,135,171.85,0,1,22,11,2020
34,Rahul Tripathi,KKR,35,11,11,1,230,81,23.0,181,127.07,0,1,21,10,2020
35,Prithvi Shaw,DC,36,13,13,0,228,66,17.53,167,136.52,0,2,27,8,2020
36,Wriddhiman Saha,SRH,37,4,4,1,214,87,71.33,153,139.86,0,2,24,5,2020
