,Player,Team,POS,MAT,INNS,OV,Runs Conceded,WKTS,BBI,AVG WKT,ECON,SR,4W,5W,Year
0,Kagiso Rabada,DC,1,17,17,65.0,548,30,4/21,18.26,8.34,13.13,2,0,2020
1,Jasprit Bumrah,MI,2,15,15,60.0,404,27,4/14,14.96,6.73,13.33,2,0,2020
2,Trent Boult,MI,3,15,15,57.0,457,25,4/18,18.28,7.97,13.76,1,0,2020
3,Anrich Nortje,DC,4,16,16,61.0,512,22,3/33,23.27,8.39,16.63,0,0,2020
4,Yuzvendra Chahal,RCB,5,15,15,57.0,405,21,4/25,19.28,7.08,16.33,0,0,2020
5,Mohammad Shami,PBKS,6,14,14,53.0,460,20,3/15,23.0,8.57,16.1,0,0,2020
6,Jofra Archer,RR,7,14,14,55.0,365,20,3/15,18.25,6.55,16.7,0,0,2020
7,Rashid Khan,SRH,8,16,16,64.0,344,20,3/19,17.2,5.37,19.2,0,0,2020
8,Varun Chakaravarthy,KKR,9,13,13,52.0,356,17,5/20,20.94,6.84,18.35,0,1,2020
9,T Natarajan,SRH,10,16,16,63.0,504,16,2/24,31.5,8.02,23.56,0,0,2020
10,Rahul Chahar,MI,11,15,15,53.0,433,15,4/27,28.86,8.16,21.2,0,0,2020
11,Jason Holder,SRH,12,7,7,28.0,233,14,4/52,16.64,8.32,12.0,0,0,2020
12,Sandeep Sharma,SRH,13,13,13,52.0,374,14,4/20,26.71,7.19,22.28,0,0,2020
13,Marcus Stoinis,DC,14,17,13,29.0,283,13,4/15,21.76,9.53,13.69,0,0,2020
14,Ravichandran Ashwin,DC,15,15,15,51.0,391,13,4/34,30.07,7.66,23.53,0,0,2020
15,Sam Curran,CSK,16,14,13,42.0,344,13,4/11,26.46,8.19,19.38,0,0,2020
16,Pat Cummins,KKR,17,14,14,52.0,409,12,4/34,34.08,7.86,26.0,1,0,2020
17,Ravi Bishnoi,PBKS,18,14,14,51.0,376,12,3/24,31.33,7.37,25.5,0,0,2020
18,Deepak Chahar,CSK,19,14,14,52.0,396,12,4/13,33.0,7.61,26.0,0,0,2020
19,Mohammed Siraj,RCB,20,9,9,27.0,236,11,4/32,21.45,8.68,14.81,0,0,2020
20,James Pattinson,MI,21,10,10,35.0,320,11,2/19,29.09,9.01,19.36,0,0,2020
21,Chris Morris,RCB,22,9,9,31.0,210,11,4/23,19.09,6.63,17.27,1,0,2020
22,Shreyas Gopal,RR,23,14,14,50.0,427,10,4/16,42.7,8.54,30.0,0,0,2020
23,Murugan Ashwin,PBKS,24,9,9,31.0,235,10,3/21,23.5,7.46,18.9,0,0,2020
24,Shardul Thakur,CSK,25,9,9,32.0,275,10,3/19,27.5,8.5,19.4,0,0,2020
25,Rahul Tewatia,RR,26,14,14,46.0,326,10,3/18,32.6,7.08,27.6,0,0,2020
26,Lungi Ngidi,CSK,27,4,4,16.0,167,9,4/10,18.55,10.43,10.66,0,0,2020
27,Kartik Tyagi,RR,28,10,10,38.0,367,9,2/29,40.77,9.61,25.44,0,0,2020
28,Arshdeep Singh,PBKS,29,8,8,25.0,218,9,5/32,24.22,8.77,16.55,0,0,2020
29,Axar Patel,DC,30,15,15,51.0,327,9,4/21,36.33,6.41,34.0,0,0,2020
30,Shivam Mavi,KKR,31,8,8,26.0,212,9,4/21,23.55,8.15,17.33,0,0,2020
31,Chris Jordan,PBKS,32,9,9,31.0,304,9,4/11,33.77,9.65,21.0,0,0,2020
32,Khaleel Ahmed,SRH,33,7,7,25.0,242,8,3/21,30.25,9.42,19.25,0,0,2020
33,Isuru Udana,RCB,34,10,10,29.0,282,8,2/41,35.25,9.72,21.75,0,0,2020
34,Washington Sundar,RCB,35,15,15,50.0,298,8,3/16,37.25,5.96,37.5,0,0,2020
35,Piyush Chawla,CSK,36,7,7,21.0,191,6,4/17,31.83,9.09,21.0,0,0,2020
